Gene	log2FoldChange	pvalue	padj																																																																																																																																																																																																																																																																																																																																							Gene	ROTS.statistic	pvalue	FDR				Majority protein IDs	Protein names	Gene names	-Log Student's T-test p-value CA_CO	Student's T-test Difference CA_CO	Student's T-test Test statistic CA_CO
MST1	0.11826839	0.496381526	0.99137931																																																																																																																																																																																																																																																																																																																																							P26927	0.683321934	0.496381526	0.99137931				P26927	Hepatocyte growth factor-like protein;Hepatocyte growth factor-like protein alpha chain;Hepatocyte growth factor-like protein beta chain	MST1	0.304296931	0.11826839	0.683371288
C1QB	0.072918116	0.498291165	0.99137931																																																																																																																																																																																																																																																																																																																																							P02746	0.680234867	0.498291165	0.99137931				P02746	Complement C1q subcomponent subunit B	C1QB	0.302615709	0.072918116	0.680312065
SBSN	-0.097027845	0.498662651	0.99137931																																																																																																																																																																																																																																																																																																																																							Q6UWP8	-0.679694176	0.498662651	0.99137931				Q6UWP8	Suprabasin	SBSN	0.302249319	-0.097027845	-0.679644648
A1BG	-0.042731618	0.500158635	0.99137931																																																																																																																																																																																																																																																																																																																																							P04217;P04217-2	-0.677332006	0.500158635	0.99137931				P04217;P04217-2	Alpha-1B-glycoprotein	A1BG	0.300990227	-0.042731618	-0.677349104
PLXDC2	-0.131192939	0.504821285	0.99137931																																																																																																																																																																																																																																																																																																																																							Q6UX71;Q6UX71-2	-0.669930601	0.504821285	0.99137931				Q6UX71;Q6UX71-2	Plexin domain-containing protein 2	PLXDC2	0.296917833	-0.131192939	-0.669903396
IGLC6	0.175865661	0.51052008	0.99137931																																																																																																																																																																																																																																																																																																																																							P0DOY3;P0DOY2;P0CF74	0.661164726	0.51052008	0.99137931				P0DOY3;P0DOY2;P0CF74	Ig lambda-6 chain C region	IGLC6	0.292141234	0.175865661	0.661128809
ALB	0.133589989	0.511351406	0.99137931																																																																																																																																																																																																																																																																																																																																							CON__P02768-1;P02768;P02768-2;P02768-3	0.659821435	0.511351406	0.99137931				CON__P02768-1;P02768;P02768-2;P02768-3	Serum albumin	ALB	0.291449706	0.133589989	0.659854741
BCHE	0.082731957	0.51238755	0.99137931																																																																																																																																																																																																																																																																																																																																							P06276	0.658224041	0.51238755	0.99137931				P06276	Cholinesterase	BCHE	0.290566317	0.082731957	0.658225807
KRT10	0.168797249	0.51263253	0.99137931																																																																																																																																																																																																																																																																																																																																							CON__P13645;P13645	0.657788244	0.51263253	0.99137931				CON__P13645;P13645	"Keratin, type I cytoskeletal 10"	KRT10	0.290322536	0.168797249	0.657776011
TTR	0.065937175	0.515271084	0.99137931																																																																																																																																																																																																																																																																																																																																							P02766	0.653604241	0.515271084	0.99137931				P02766	Transthyretin	TTR	0.288075796	0.065937175	0.653625
C8A	-0.043926727	0.516210843	0.99137931																																																																																																																																																																																																																																																																																																																																							P07357	-0.652077805	0.516210843	0.99137931				P07357	Complement component C8 alpha chain	C8A	0.287296868	-0.043926727	-0.652183512
SERPINF1	-0.054568091	0.518817269	0.99137931																																																																																																																																																																																																																																																																																																																																							P36955	-0.647587916	0.518817269	0.99137931				P36955	Pigment epithelium-derived factor	SERPINF1	0.284855873	-0.054568091	-0.647658278
ITIH2	-0.035096368	0.529186747	0.99137931																																																																																																																																																																																																																																																																																																																																							P19823	-0.63156947	0.529186747	0.99137931				P19823	Inter-alpha-trypsin inhibitor heavy chain H2	ITIH2	0.276236518	-0.035096368	-0.631582059
ABI3BP	-0.146130673	0.535704819	0.99137931																																																																																																																																																																																																																																																																																																																																							Q7Z7G0-2;Q7Z7G0-3;Q7Z7G0-4;Q7Z7G0	-0.621715252	0.535704819	0.99137931				Q7Z7G0-2;Q7Z7G0-3;Q7Z7G0-4;Q7Z7G0	Target of Nesh-SH3	ABI3BP	0.27097723	-0.146130673	-0.621697102
ICAM1	-0.08054374	0.536859438	0.99137931																																																																																																																																																																																																																																																																																																																																							P05362	-0.619984326	0.536859438	0.99137931				P05362	Intercellular adhesion molecule 1	ICAM1	0.270058435	-0.08054374	-0.619964229
AMBP	-0.060432168	0.537096386	0.99137931																																																																																																																																																																																																																																																																																																																																							P02760	-0.619639492	0.537096386	0.99137931				P02760	Protein AMBP;Alpha-1-microglobulin;Inter-alpha-trypsin inhibitor light chain;Trypstatin	AMBP	0.269874453	-0.060432168	-0.619617019
FCGR3A	-0.100671901	0.541385542	0.99137931																																																																																																																																																																																																																																																																																																																																							P08637	-0.613350232	0.541385542	0.99137931				P08637	Low affinity immunoglobulin gamma Fc region receptor III-A	FCGR3A	0.266551194	-0.100671901	-0.613332962
GP5	0.096849575	0.544313253	0.99137931																																																																																																																																																																																																																																																																																																																																							P40197	0.609180223	0.544313253	0.99137931				P40197	Platelet glycoprotein V	GP5	0.264376321	0.096849575	0.609207618
GPLD1	0.077197452	0.548355422	0.99137931																																																																																																																																																																																																																																																																																																																																							P80108	0.603197485	0.548355422	0.99137931				P80108	Phosphatidylinositol-glycan-specific phospholipase D	GPLD1	0.261244419	0.077197452	0.603249002
CPB2	0.072858899	0.549945783	0.99137931																																																																																																																																																																																																																																																																																																																																							Q96IY4;Q96IY4-2	0.600781826	0.549945783	0.99137931				Q96IY4;Q96IY4-2	Carboxypeptidase B2	CPB2	0.259984106	0.072858899	0.600845161
CCL14	-0.136728775	0.550313253	0.99137931																																																																																																																																																																																																																																																																																																																																							Q16627	-0.600192227	0.550313253	0.99137931				Q16627	C-C motif chemokine 14;HCC-1(3-74);HCC-1(4-74);HCC-1(9-74)	CCL14	0.259646221	-0.136728775	-0.600200112
FCN3	0.101054302	0.550345382	0.99137931																																																																																																																																																																																																																																																																																																																																							O75636;O75636-2	0.600145209	0.550345382	0.99137931				O75636;O75636-2	Ficolin-3	FCN3	0.259591999	0.101054302	0.600096573
ANG	-0.125459272	0.551449799	0.99137931																																																																																																																																																																																																																																																																																																																																							P03950	-0.598527714	0.551449799	0.99137931				P03950	Angiogenin	ANG	0.258732676	-0.125459272	-0.598454824
SEPP1	-0.047123798	0.554216867	0.99137931																																																																																																																																																																																																																																																																																																																																							P49908	-0.59440364	0.554216867	0.99137931				P49908	Selenoprotein P	SEPP1	0.256590665	-0.047123798	-0.594355405
PLTP	0.121678153	0.554624498	0.99137931																																																																																																																																																																																																																																																																																																																																							P55058-3;P55058-2;P55058;P55058-4	0.593839568	0.554624498	0.99137931				P55058-3;P55058-2;P55058;P55058-4	Phospholipid transfer protein	PLTP	0.256330535	0.121678153	0.593856873
CRISP3	-0.217748021	0.563497992	0.99137931																																																																																																																																																																																																																																																																																																																																							P54108;P54108-2;P54108-3	-0.580738411	0.563497992	0.99137931				P54108;P54108-2;P54108-3	Cysteine-rich secretory protein 3	CRISP3	0.249519074	-0.217748021	-0.580749187
MINPP1	-0.100093354	0.568560241	0.99137931																																																																																																																																																																																																																																																																																																																																							Q9UNW1;Q9UNW1-4;Q9UNW1-3;Q9UNW1-2	-0.573304973	0.568560241	0.99137931				Q9UNW1;Q9UNW1-4;Q9UNW1-3;Q9UNW1-2	Multiple inositol polyphosphate phosphatase 1	MINPP1	0.245669424	-0.100093354	-0.573294774
ITIH4	-0.148913184	0.569441767	0.99137931																																																																																																																																																																																																																																																																																																																																							Q14624-2;Q14624-3;Q14624-4	-0.571954281	0.569441767	0.99137931				Q14624-2;Q14624-3;Q14624-4	Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4	ITIH4	0.244977416	-0.148913184	-0.571951189
C4BPB	0.191525836	0.570572289	0.99137931																																																																																																																																																																																																																																																																																																																																							P20851-2;P20851	0.570367801	0.570572289	0.99137931				P20851-2;P20851	C4b-binding protein beta chain	C4BPB	0.244163245	0.191525836	0.570369007
F7	-0.073625298	0.576791165	0.99137931																																																																																																																																																																																																																																																																																																																																							P08709-2;P08709	-0.561121409	0.576791165	0.99137931				P08709-2;P08709	Coagulation factor VII;Factor VII light chain;Factor VII heavy chain	F7	0.239418706	-0.073625298	-0.561118414
PPBP	0.058998152	0.587502008	0.99137931																																																																																																																																																																																																																																																																																																																																							P02775	0.545408516	0.587502008	0.99137931				P02775	Platelet basic protein;Connective tissue-activating peptide III;TC-2;Connective tissue-activating peptide III(1-81);Beta-thromboglobulin;Neutrophil-activating peptide 2(74);Neutrophil-activating peptide 2(73);Neutrophil-activating peptide 2;TC-1;Neutrophil-activating peptide 2(1-66);Neutrophil-activating peptide 2(1-63)	PPBP	0.231444746	0.058998152	0.545452243
TF	-0.079918129	0.596150602	0.99137931																																																																																																																																																																																																																																																																																																																																							P02787	-0.533034803	0.596150602	0.99137931				P02787	Serotransferrin	TF	0.225193762	-0.079918129	-0.533064541
ALDOA	-0.095500636	0.596610442	0.99137931																																																																																																																																																																																																																																																																																																																																							P04075;P04075-2	-0.532346376	0.596610442	0.99137931				P04075;P04075-2	Fructose-bisphosphate aldolase A	ALDOA	0.224800575	-0.095500636	-0.532282172
APOA4	-0.054978792	0.597981928	0.99137931																																																																																																																																																																																																																																																																																																																																							P06727	-0.530296807	0.597981928	0.99137931				P06727	Apolipoprotein A-IV	APOA4	0.223836959	-0.054978792	-0.530363147
TMSB4X	0.182309971	0.601052209	0.99137931																																																																																																																																																																																																																																																																																																																																							P62328	0.52590947	0.601052209	0.99137931				P62328	Thymosin beta-4;Hematopoietic system regulatory peptide	TMSB4X	0.221595508	0.182309971	0.525890469
IGFBP2	0.145808198	0.601767068	0.99137931																																																																																																																																																																																																																																																																																																																																							P18065	0.524780433	0.601767068	0.99137931				P18065	Insulin-like growth factor-binding protein 2	IGFBP2	0.22103817	0.145808198	0.524776401
CPN2	0.050704557	0.602381526	0.99137931																																																																																																																																																																																																																																																																																																																																							P22792	0.523899046	0.602381526	0.99137931				P22792	Carboxypeptidase N subunit 2	CPN2	0.220611496	0.050704557	0.523922998
CFD	-0.041310599	0.608289157	0.99137931																																																																																																																																																																																																																																																																																																																																							P00746	-0.515303037	0.608289157	0.99137931				P00746	Complement factor D	CFD	0.216361582	-0.041310599	-0.515397744
C1QA	-0.096853212	0.622253012	0.99137931																																																																																																																																																																																																																																																																																																																																							P02745	-0.495381525	0.622253012	0.99137931				P02745	Complement C1q subcomponent subunit A	C1QA	0.206477475	-0.096853212	-0.495392649
SOD3	-0.192384188	0.630261044	0.99137931																																																																																																																																																																																																																																																																																																																																							P08294	-0.484206415	0.630261044	0.99137931				P08294	Extracellular superoxide dismutase [Cu-Zn]	SOD3	0.201002915	-0.192384188	-0.484202888
DEFA3;DEFA1	-0.336437004	0.635034137	0.99137931																																																																																																																																																																																																																																																																																																																																							P59666;P59665	-0.477436142	0.635034137	0.99137931				P59666;P59665	Neutrophil defensin 3;HP 3-56;Neutrophil defensin 2;Neutrophil defensin 1;HP 1-56;Neutrophil defensin 2	DEFA3;DEFA1	0.197704554	-0.336437004	-0.477422689
APOH	-0.063319095	0.637959839	0.99137931																																																																																																																																																																																																																																																																																																																																							P02749	-0.473256992	0.637959839	0.99137931				P02749	Beta-2-glycoprotein 1	APOH	0.195678017	-0.063319095	-0.473242347
CFHR1	-0.060140654	0.644783133	0.99137931																																																																																																																																																																																																																																																																																																																																							Q03591	-0.463730466	0.644783133	0.99137931				Q03591	Complement factor H-related protein 1	CFHR1	0.191100658	-0.060140654	-0.463758952
CST3	-0.061076497	0.646174699	0.99137931																																																																																																																																																																																																																																																																																																																																							P01034	-0.461643339	0.646174699	0.99137931				P01034	Cystatin-C	CST3	0.190098911	-0.061076497	-0.461675838
CTBS	-0.090990067	0.647716867	0.99137931																																																																																																																																																																																																																																																																																																																																							Q01459	-0.459527258	0.647716867	0.99137931				Q01459	Di-N-acetylchitobiase	CTBS	0.189053999	-0.090990067	-0.459499996
FCGR3B	-0.129162057	0.655983936	0.99137931																																																																																																																																																																																																																																																																																																																																							O75015	-0.44755732	0.655983936	0.99137931				O75015	Low affinity immunoglobulin gamma Fc region receptor III-B	FCGR3B	0.183339293	-0.129162057	-0.447546071
BST1	-0.082575332	0.656349398	0.99137931																																																																																																																																																																																																																																																																																																																																							Q10588-2;Q10588	-0.447025269	0.656349398	0.99137931				Q10588-2;Q10588	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	BST1	0.183106883	-0.082575332	-0.447057967
VNN1	-0.076432649	0.656688755	0.99137931																																																																																																																																																																																																																																																																																																																																							O95497	-0.446566918	0.656688755	0.99137931				O95497	Pantetheinase	VNN1	0.18285407	-0.076432649	-0.446526839
KRT2	0.131326321	0.660285141	0.99137931																																																																																																																																																																																																																																																																																																																																							P35908;CON__P35908	0.441592199	0.660285141	0.99137931				P35908;CON__P35908	"Keratin, type II cytoskeletal 2 epidermal"	KRT2	0.180517969	0.131326321	0.44161036
ORM1	0.148822252	0.662985944	0.99137931																																																																																																																																																																																																																																																																																																																																							P02763	0.437806346	0.662985944	0.99137931				P02763	Alpha-1-acid glycoprotein 1	ORM1	0.178723669	0.148822252	0.437823496
MASP1	0.043531285	0.666032129	0.99137931																																																																																																																																																																																																																																																																																																																																							P48740-2;P48740-4	0.433638277	0.666032129	0.99137931				P48740-2;P48740-4	Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain	MASP1	0.176783854	0.043531285	0.433719051
AGT	-0.083530958	0.668076305	0.99137931																																																																																																																																																																																																																																																																																																																																							P01019	-0.430830409	0.668076305	0.99137931				P01019	Angiotensinogen;Angiotensin-1;Angiotensin-2;Angiotensin-3;Angiotensin-4;Angiotensin 1-9;Angiotensin 1-7;Angiotensin 1-5;Angiotensin 1-4	AGT	0.175389647	-0.083530958	-0.430762288
C1QC	0.044068536	0.668855422	0.99137931																																																																																																																																																																																																																																																																																																																																							P02747	0.429860113	0.668855422	0.99137931				P02747	Complement C1q subcomponent subunit C	C1QC	0.174940442	0.044068536	0.429808427
SHBG	-0.111754573	0.669240964	0.99137931																																																																																																																																																																																																																																																																																																																																							P04278;P04278-4;P04278-2;P04278-3;P04278-5	-0.429388528	0.669240964	0.99137931				P04278;P04278-4;P04278-2;P04278-3;P04278-5	Sex hormone-binding globulin	SHBG	0.174722873	-0.111754573	-0.429346218
CLEC3B	-0.047524031	0.669568273	0.99137931																																																																																																																																																																																																																																																																																																																																							P05452	-0.428923359	0.669568273	0.99137931				P05452	Tetranectin	CLEC3B	0.174518131	-0.047524031	-0.428911133
C2	-0.029839582	0.669600402	0.99137931																																																																																																																																																																																																																																																																																																																																							P06681;P06681-3;P06681-2	-0.428889656	0.669600402	0.99137931				P06681;P06681-3;P06681-2	Complement C2;Complement C2b fragment;Complement C2a fragment	C2	0.17446593	-0.029839582	-0.428800184
MASP1	0.031729321	0.674863454	0.99137931																																																																																																																																																																																																																																																																																																																																							P48740	0.421650476	0.674863454	0.99137931				P48740	Mannan-binding lectin serine protease 1;Mannan-binding lectin serine protease 1 heavy chain;Mannan-binding lectin serine protease 1 light chain	MASP1	0.171060245	0.031729321	0.421544303
ENG	0.04829664	0.679345382	0.99137931																																																																																																																																																																																																																																																																																																																																							P17813-2;P17813	0.415728519	0.679345382	0.99137931				P17813-2;P17813	Endoglin	ENG	0.168355291	0.04829664	0.415756772
CFHR2	0.103098537	0.684688755	0.99137931																																																																																																																																																																																																																																																																																																																																							P36980-2;P36980	0.408467569	0.684688755	0.99137931				P36980-2;P36980	Complement factor H-related protein 2	CFHR2	0.16496056	0.103098537	0.408462231
C1R	0.030246158	0.686965863	0.99137931																																																																																																																																																																																																																																																																																																																																							P00736	0.405256058	0.686965863	0.99137931				P00736	Complement C1r subcomponent;Complement C1r subcomponent heavy chain;Complement C1r subcomponent light chain	C1R	0.163460942	0.030246158	0.405228728
SELL	0.054769072	0.688495984	0.99137931																																																																																																																																																																																																																																																																																																																																							P14151;P14151-2	0.403156039	0.688495984	0.99137931				P14151;P14151-2	L-selectin	SELL	0.162504784	0.054769072	0.403163448
SERPINC1	-0.043832646	0.690726908	0.99137931																																																																																																																																																																																																																																																																																																																																							P01008	-0.400158169	0.690726908	0.99137931				P01008	Antithrombin-III	SERPINC1	0.161146232	-0.043832646	-0.40022417
HPX	-0.022321568	0.692285141	0.99137931																																																																																																																																																																																																																																																																																																																																							P02790	-0.39813075	0.692285141	0.99137931				P02790	Hemopexin	HPX	0.160147363	-0.022321568	-0.39805944
IGKC	0.109667711	0.694413655	0.99137931																																																																																																																																																																																																																																																																																																																																							P01834;P0DOX7	0.395238424	0.694413655	0.99137931				P01834;P0DOX7	Ig kappa chain C region	IGKC	0.158847777	0.109667711	0.39523837
ITIH3	0.041010968	0.699861446	0.99137931																																																																																																																																																																																																																																																																																																																																							Q06033-2;Q06033	0.387763864	0.699861446	0.99137931				Q06033-2;Q06033	Inter-alpha-trypsin inhibitor heavy chain H3	ITIH3	0.155383278	0.041010968	0.387692013
SERPINA6	-0.09330266	0.709062249	0.99137931																																																																																																																																																																																																																																																																																																																																							P08185	-0.375382691	0.709062249	0.99137931				P08185	Corticosteroid-binding globulin	SERPINA6	0.149757244	-0.09330266	-0.375356355
S100A8	0.112396018	0.713421687	0.99137931																																																																																																																																																																																																																																																																																																																																							P05109	0.36934364	0.713421687	0.99137931				P05109	"Protein S100-A8;Protein S100-A8, N-terminally processed"	S100A8	0.147035352	0.112396018	0.369351754
KRT1	0.078493872	0.717126506	0.99137931																																																																																																																																																																																																																																																																																																																																							P04264;CON__P04264	0.364420922	0.717126506	0.99137931				P04264;CON__P04264	"Keratin, type II cytoskeletal 1"	KRT1	0.144796485	0.078493872	0.364394595
F10	-0.041802828	0.71802008	0.99137931																																																																																																																																																																																																																																																																																																																																							P00742	-0.363128764	0.71802008	0.99137931				P00742	Coagulation factor X;Factor X light chain;Factor X heavy chain;Activated factor Xa heavy chain	F10	0.144210478	-0.041802828	-0.363094374
C9	-0.038505909	0.720399598	0.99137931																																																																																																																																																																																																																																																																																																																																							P02748	-0.359789327	0.720399598	0.99137931				P02748	Complement component C9;Complement component C9a;Complement component C9b	C9	0.142708429	-0.038505909	-0.359756466
HRG	0.036799054	0.724273092	0.99137931																																																																																																																																																																																																																																																																																																																																							P04196	0.354693709	0.724273092	0.99137931				P04196	Histidine-rich glycoprotein	HRG	0.140481101	0.036799054	0.354793002
MUC19	0.146130052	0.725493976	0.99137931																																																																																																																																																																																																																																																																																																																																							Q7Z5P9-2;Q7Z5P9	0.353023514	0.725493976	0.99137931				Q7Z5P9-2;Q7Z5P9	Mucin-19	MUC19	0.139686425	0.146130052	0.353018097
RBP4	-0.034050831	0.731218876	0.99137931																																																																																																																																																																																																																																																																																																																																							P02753	-0.345346841	0.731218876	0.99137931				P02753	Retinol-binding protein 4;Plasma retinol-binding protein(1-182);Plasma retinol-binding protein(1-181);Plasma retinol-binding protein(1-179);Plasma retinol-binding protein(1-176)	RBP4	0.136323746	-0.034050831	-0.345483966
PGLYRP2	0.02397932	0.731307229	0.99137931																																																																																																																																																																																																																																																																																																																																							Q96PD5;Q96PD5-2	0.345215574	0.731307229	0.99137931				Q96PD5;Q96PD5-2	N-acetylmuramoyl-L-alanine amidase	PGLYRP2	0.136221862	0.02397932	0.345255093
PROZ	0.076107158	0.734742972	0.99137931																																																																																																																																																																																																																																																																																																																																							P22891;P22891-2	0.340953897	0.734742972	0.99137931				P22891;P22891-2	Vitamin K-dependent protein Z	PROZ	0.134319552	0.076107158	0.34097523
KNG1	-0.058700162	0.736291165	0.99137931																																																																																																																																																																																																																																																																																																																																							P01042-2;P01042-3	-0.338831873	0.736291165	0.99137931				P01042-2;P01042-3	Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor	KNG1	0.133376436	-0.058700162	-0.338848776
PCOLCE	-0.051269886	0.738702811	0.99137931																																																																																																																																																																																																																																																																																																																																							Q15113	-0.335564063	0.738702811	0.99137931				Q15113	Procollagen C-endopeptidase enhancer 1	PCOLCE	0.131936284	-0.051269886	-0.335595722
IGHM	-0.118759554	0.743309237	0.99137931																																																																																																																																																																																																																																																																																																																																							P01871;P01871-2;P04220	-0.329472617	0.743309237	0.99137931				P01871;P01871-2;P04220	Ig mu chain C region;Ig mu heavy chain disease protein	IGHM	0.129233077	-0.118759554	-0.329470163
IGF2	-0.122079938	0.743560241	0.99137931																																																																																																																																																																																																																																																																																																																																							P01344;P01344-3;P01344-2	-0.329091028	0.743560241	0.99137931				P01344;P01344-3;P01344-2	Insulin-like growth factor II;Insulin-like growth factor II;Insulin-like growth factor II Ala-25 Del;Preptin	IGF2	0.129077878	-0.122079938	-0.329117701
A2M	0.047566569	0.74513253	0.99137931																																																																																																																																																																																																																																																																																																																																							P01023	0.327035636	0.74513253	0.99137931				P01023	Alpha-2-macroglobulin	A2M	0.128152544	0.047566569	0.327014476
CLU	-0.020286782	0.746550201	0.99137931																																																																																																																																																																																																																																																																																																																																							P10909-4;P10909;P10909-5;P10909-2;P10909-3	-0.325124087	0.746550201	0.99137931				P10909-4;P10909;P10909-5;P10909-2;P10909-3	Clusterin;Clusterin beta chain;Clusterin alpha chain	CLU	0.127359323	-0.020286782	-0.325209131
HRNR	0.07136509	0.753556225	0.99137931																																																																																																																																																																																																																																																																																																																																							CON__Q86YZ3;Q86YZ3	0.315748033	0.753556225	0.99137931				CON__Q86YZ3;Q86YZ3	Hornerin	HRNR	0.12322719	0.07136509	0.315768353
SERPINA11	-0.045680911	0.758630522	0.99137931																																																																																																																																																																																																																																																																																																																																							Q86U17	-0.309207284	0.758630522	0.99137931				Q86U17	Serpin A11	SERPINA11	0.120363072	-0.045680911	-0.30918862
PTPRG	-0.064879883	0.763349398	0.99137931																																																																																																																																																																																																																																																																																																																																							P23470-2;P23470	-0.303245063	0.763349398	0.99137931				P23470-2;P23470	Receptor-type tyrosine-protein phosphatase gamma	PTPRG	0.117774279	-0.064879883	-0.303215676
ITIH1	-0.023547106	0.767341365	0.99137931																																																																																																																																																																																																																																																																																																																																							P19827;P19827-2	-0.298082906	0.767341365	0.99137931				P19827;P19827-2	Inter-alpha-trypsin inhibitor heavy chain H1	ITIH1	0.115587883	-0.023547106	-0.298151926
TTN	-0.075117067	0.775598394	0.99137931																																																																																																																																																																																																																																																																																																																																							Q8WZ42-5;Q8WZ42-11;Q8WZ42-4;Q8WZ42-7;Q8WZ42-2;Q8WZ42;Q8WZ42-8;Q8WZ42-13;Q8WZ42-12;Q8WZ42-3;Q8WZ42-10;Q8WZ42-9	-0.287179168	0.775598394	0.99137931				Q8WZ42-5;Q8WZ42-11;Q8WZ42-4;Q8WZ42-7;Q8WZ42-2;Q8WZ42;Q8WZ42-8;Q8WZ42-13;Q8WZ42-12;Q8WZ42-3;Q8WZ42-10;Q8WZ42-9	Titin	TTN	0.11088157	-0.075117067	-0.287191426
PTGDS	-0.038914303	0.776504016	0.99137931																																																																																																																																																																																																																																																																																																																																							P41222	-0.285994951	0.776504016	0.99137931				P41222	Prostaglandin-H2 D-isomerase	PTGDS	0.110407427	-0.038914303	-0.286082564
ACTG1;ACTB	-0.049151443	0.782297189	0.99137931																																																																																																																																																																																																																																																																																																																																							P63261;P60709	-0.278428218	0.782297189	0.99137931				P63261;P60709	"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed;Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed"	ACTG1;ACTB	0.107150504	-0.049151443	-0.278442501
APOL1	0.052151037	0.783293173	0.99137931																																																																																																																																																																																																																																																																																																																																							O14791-3;O14791;O14791-2	0.277115625	0.783293173	0.99137931				O14791-3;O14791;O14791-2	Apolipoprotein L1	APOL1	0.106576019	0.052151037	0.277090649
MEGF8	-0.034846417	0.784497992	0.99137931																																																																																																																																																																																																																																																																																																																																							Q7Z7M0;Q7Z7M0-2	-0.275586699	0.784497992	0.99137931				Q7Z7M0;Q7Z7M0-2	Multiple epidermal growth factor-like domains protein 8	MEGF8	0.105937354	-0.034846417	-0.275586274
CFP	0.06945956	0.785879518	0.99137931																																																																																																																																																																																																																																																																																																																																							P27918	0.273838804	0.785879518	0.99137931				P27918	Properdin	CFP	0.105194685	0.06945956	0.273834926
APCS	-0.021653552	0.800522088	0.99137931																																																																																																																																																																																																																																																																																																																																							P02743	-0.254830435	0.800522088	0.99137931				P02743	Serum amyloid P-component;Serum amyloid P-component(1-203)	APCS	0.097205408	-0.021653552	-0.254857553
IGJ	-0.043616894	0.800943775	0.99137931																																																																																																																																																																																																																																																																																																																																							P01591	-0.254329644	0.800943775	0.99137931				P01591	Immunoglobulin J chain	IGJ	0.096981197	-0.043616894	-0.254321303
ALDOB	-0.058161137	0.8087751	0.99137931																																																																																																																																																																																																																																																																																																																																							P05062	-0.244019261	0.8087751	0.99137931				P05062	Fructose-bisphosphate aldolase B	ALDOB	0.092695677	-0.058161137	-0.244032264
F11	-0.040484717	0.817660643	0.99137931																																																																																																																																																																																																																																																																																																																																							P03951;P03951-2	-0.232422795	0.817660643	0.99137931				P03951;P03951-2	Coagulation factor XI;Coagulation factor XIa heavy chain;Coagulation factor XIa light chain	F11	0.087894978	-0.040484717	-0.232416504
GP1BA	-0.025748364	0.825106426	0.99137931																																																																																																																																																																																																																																																																																																																																							P07359	-0.222599394	0.825106426	0.99137931				P07359	Platelet glycoprotein Ib alpha chain;Glycocalicin	GP1BA	0.08382538	-0.025748364	-0.222493864
CFHR5	0.050020839	0.826301205	0.99137931																																																																																																																																																																																																																																																																																																																																							Q9BXR6	0.221161803	0.826301205	0.99137931				Q9BXR6	Complement factor H-related protein 5	CFHR5	0.083298047	0.050020839	0.221202933
AFM	0.032317494	0.82864257	0.99137931																																																																																																																																																																																																																																																																																																																																							P43652	0.218173426	0.82864257	0.99137931				P43652	Afamin	AFM	0.082066603	0.032317494	0.218183655
C1S	0.009200651	0.833831325	0.99137931																																																																																																																																																																																																																																																																																																																																							P09871	0.211542694	0.833831325	0.99137931				P09871	Complement C1s subcomponent;Complement C1s subcomponent heavy chain;Complement C1s subcomponent light chain	C1S	0.079267646	0.009200651	0.211296679
SERPIND1	0.022228197	0.835435743	0.99137931																																																																																																																																																																																																																																																																																																																																							P05546	0.209436028	0.835435743	0.99137931				P05546	Heparin cofactor 2	SERPIND1	0.078542439	0.022228197	0.209506691
PRG4	-0.032360432	0.835839357	0.99137931																																																																																																																																																																																																																																																																																																																																							Q92954-5;Q92954-4;Q92954-3;Q92954-6;Q92954-2;Q92954	-0.208893587	0.835839357	0.99137931				Q92954-5;Q92954-4;Q92954-3;Q92954-6;Q92954-2;Q92954	Proteoglycan 4;Proteoglycan 4 C-terminal part	PRG4	0.078288337	-0.032360432	-0.208878959
CA1	-0.063361855	0.837433735	0.99137931																																																																																																																																																																																																																																																																																																																																							P00915	-0.206795948	0.837433735	0.99137931				P00915	Carbonic anhydrase 1	CA1	0.077438513	-0.063361855	-0.206777494
F2	-0.01731256	0.84	0.99137931																																																																																																																																																																																																																																																																																																																																							P00734	-0.203539882	0.84	0.99137931				P00734	Prothrombin;Activation peptide fragment 1;Activation peptide fragment 2;Thrombin light chain;Thrombin heavy chain	F2	0.076114413	-0.01731256	-0.203496865
ADIPOQ	-0.033678144	0.844359438	0.99137931																																																																																																																																																																																																																																																																																																																																							Q15848	-0.198083785	0.844359438	0.99137931				Q15848	Adiponectin	ADIPOQ	0.073923251	-0.033678144	-0.198050834
CHL1	-0.025296455	0.844447791	0.99137931																																																																																																																																																																																																																																																																																																																																							O00533;O00533-2	-0.197962843	0.844447791	0.99137931				O00533;O00533-2	Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein	CHL1	0.073884164	-0.025296455	-0.19795349
